,Clinic Name,Distance and Status,Address,Location,Contact Info
189,Winstedt Clinic,3.7 km - Closed,51 Upper Weld Road,Singapore 207408,T +65 6292 2975
190,RafflesMedical,3.83 km - Closing in 3 hr 8 min,20 Pasir Panjang Road #02-26 Mapletree Business City,Singapore 117439,T +65 6570 6970
191,The Clinic @ Business City,3.83 km - Closing in 3 hr 8 min,20 Pasir Panjang Road #Mapletree Business City #02-26,Singapore 117439,T +65 6816 7180
192,Town Clinic,3.85 km - Closed,287 Beach Road #01-00,Singapore 199551,T +65 6298 1456
193,Cavenagh Medical Clinic and Home Care,4 km - Closing in 6 hr 38 min,559 Bukit Timah Road #01-01,Singapore 269695,T +65 8831 8316
194,MyCLNQ Medical @ Jurong,4 km - Closed,"2 Venture Drive #02-02, Vision Exchange",Singapore 608526,T +65 6904 4722
195,Rowell Clinic & Surgery,4.02 km - Closing in 3 hr 8 min,642 Rowell Road #01-115,Singapore 200642,T +65 6292 0338
196,United Medical Clinic,4.04 km - Closed,25 Jalan Berseh #01-144,Singapore 200025,T +65 6296 3664
197,Tayka Medical,4.06 km - Closing in 7 hr 38 min,29A Desker Road,Singapore 209562,T +65 6392 4473
198,AM PM Family Clinic & Surgery,4.07 km - Closed,123 Toa Payoh Lorong 1 ##01-521,Singapore 310123,T +65 6253 0917 F +65 6259 9051
199,The Balmoral Clinic Family Medicine,4.08 km - Closing in 4 hr 8 min,271 Bukit Timah Road #02-12 Balmoral Plaza,Singapore 259708,T +65 6732 2033
200,Textile Centre Clinic,4.12 km - Closing in 2 hr 8 min,200 Jalan Sultan #03-32 Textile Centre,Singapore 199018,T +65 6298 2400
201,Vernon Clinic & Surgery,4.12 km - Closed,100 Jalan Sultan #02-25/26 Sultan Plaza,Singapore 199001,T +65 6294 0244
202,Japan Clinic & Surgery,4.29 km - Closing in 2 hr 8 min,802 French Road #01-55,Singapore 200802,T +65 6298 4517
203,Tanglin Halt Clinic,4.3 km - Closing in 2 hr 8 min,39 Tanglin Halt Road #01-119Q,Singapore 143039,T +65 6472 6226
204,Physicians Practice Family Medical Center,4.33 km - Closing in 6 hr 38 min,101 Thomson Road #01-17 United Square,Singapore 307591,T +65 6254 8182
205,Q & M Medical & Aesthetic Clinic (Farrer Park),4.37 km - Closing in 2 hr 38 min,180 Kitchener Road #B1-13/15 City Square Mall,Singapore 208539,T +65 6509 9558
206,57 Medical Clinic (Pek Kio),4.37 km - Closed,Blk 41 Cambridge Road #01-17,Singapore 210041,T +65 6539 9237
207,Healthway Medical,4.38 km - Closing in 2 hr 8 min,803 King George's Avenue #01-144,Singapore 200803,T +65 6293 9883
208,Lavender Medical Clinic & Surgery,4.38 km - Closing in 2 hr 8 min,803 King George's Avenue #01-186,Singapore 200803,T +65 6291 6631
209,Cheong Family Clinic,4.43 km - Closing in 2 hr 8 min,45 Owen Road #01-293,Singapore 210045,T +65 6297 5125
210,Everwell Clinic & Surgery,4.43 km - Closing in 1 hr 8 min,45 Owen Road #01-289,Singapore 210045,T +65 6296 9429
211,Fullerton Health Screening Centre @ Novena,4.49 km - Closing in 2 hr 38 min,"238B Thomson Road, Novena Square Tower B  #05-01",Singapore 307685,T +65 6333 3636
212,Truecare Clinic,4.5 km - Closed,88 Rangoon Road #Rangoon 88 #01-06,Singapore 218374,T +65 6299 8880
213,Medical and Dental Centre @ Commonwealth,4.52 km - Closing in 2 hr 38 min,88 Tanglin Halt Road #01-03  Multi Storey Car Park,Singapore 141088,T +65 6475 6116
214,E.C. Ng Medical Centre,4.53 km - Closed,2 Marne Road #01-01 Studios @ Marne,Singapore 208393,T +65 6296 0947
215,M Medical Clinic,4.53 km - Closed,681 Race Course Road #01-309,Singapore 210681,T +65 6398 0462
216,Healthway Medical Centre (Novena Sq),4.62 km - Closing in 3 hr 7 min,238 Thomson Road #03-32A Novena Square,Singapore 307683,T +65 6352 8696
217,OneDoctors Family Clinic,4.7 km - Closing in 7 hr 37 min,275 Thomson Road #01-03 Novena Ville,Singapore 307645,T +65 6254 2008
218,OGL Medical Centers,4.71 km - Closing in 9 hr 37 min,10 Sinaran Drive #Square 2 #10-31,Singapore 307506,T +65 9139 3167
219,Healthway Medical,4.71 km - Closing in 3 hr 7 min,10 Sinaran Drive #Novena Medical Center #09-36,Singapore 307506,T +65 6352 8696 F +65 6352 8695
220,Chia Clinic and Surgery,4.71 km - Closed,27 Foch Road #01-04 Hoa Nam Building,Singapore 209264,T +65 6298 0959
221,Edgedale Medical Clinic (Cambridge),4.71 km - Closed,Blk 40 Cambridge Road #01-115,Singapore 210040,T +65 6292 1088
222,FEMA Clinic & Surgery,4.72 km - Closing in 3 hr 37 min,"10 Sinaran Drive #09-20 Novena Medical Center, Square 2",Singapore 307506,T +65 6854 3720
223,A Life Clinic,4.72 km - Closing in 1 hr 37 min,10 Sinaran Drive #09-21 Novena Medical Center,Singapore 307506,T +65 6737 2283
224,The Rafflesian Clinic & Surgery,4.72 km - Closing in 1 hr 37 min,10 Sinaran Drive #11-06 Novena Medical Center,Singapore 307506,T +65 6338 2740
225,Novena Medical Center Family Clinic,4.72 km - Closing in 0 hr 37 min,"10 Sinaran Drive #11-19 Novena Medical Center, Square 2",Singapore 307506,T +65 6397 7318
226,The Family Practice Clinic & Surgery,4.73 km - Closing in 0 hr 37 min,117 Commonwealth Drive #01-723,Singapore 140117,T +65 6474 8394
227,The Clinic @ Aperia,4.83 km - Closing in 3 hr 7 min,12 Kallang Ave #03-15 Aperia,Singapore 339511,T +65 6341 6892
228,Oneness Medical,5.03 km - Closing in 5 hr 37 min,Blk 31 Holland Close ##01-231,Singapore 270031,T +65 6937 2120 F +65 9825 7316
229,Holland Medical Clinic,5.03 km - Closing in 3 hr 37 min,31 Holland Close #01-231,Singapore 270031,T +65 6262 0364
230,Healthway Medical,5.08 km - Closing in 2 hr 37 min,705 Serangoon Road #Kwong Wai Shiu Hospital #01-06,Singapore 328127,T +65 6291 4331 F +65 6323 1409
231,Balestier Clinic & Health Screening Centre,5.09 km - Closing in 2 hr 37 min,221 Balestier Road #03-04 Rocca Balestier,Singapore 329928,T +65 6258 8798
232,Yap Medicare Clinic & Surgery,5.11 km - Closing in 1 hr 37 min,8 Empress Road #01-03,Singapore 260008,T +65 6471 2338
233,Dr.W Family Clinic,5.11 km - Closed,8 Empress Road #01-09,Singapore 260008,T +65 6475 4262
234,Tay Medical Centre Clinic & Surgery,5.18 km - Closing in 1 hr 37 min,6 Holland Close #01-28,Singapore 271006,T +65 6779 3188
235,Heal Medical Centre,5.21 km - Closing in 2 hr 37 min,262 Balestier Road #04-02 Okio,Singapore 329714,T +65 6250 9550
236,Family Health Clinic & Surgery,5.23 km - Closing in 1 hr 37 min,2 Balestier Road #01-651,Singapore 320002,T +65 6254 2440
237,N B Tham Clinic,5.24 km - Closing in 2 hr 37 min,8 Whampoa Drive,Singapore 327718,T +65 6288 0739
238,Oaklife Family Clinic,5.32 km - Closing in 2 hr 7 min,592G Balestier Road,Singapore 329902,T +65 6980 8568
239,RafflesMedical (Holland),5.36 km - Closing in 3 hr 7 min,118 Holland Ave #05-02/03/04 Holland V,Singapore 278997,T +65 6250 1411
240,Tan-Teoh Clinic & Surgery (Towner Rd),5.37 km - Closing in 3 hr 37 min,101 Towner Road #01-216,Singapore 322101,T +65 6299 2292
241,Healthway Medical Clinic (Towner Road),5.37 km - Closing in 2 hr 37 min,101 Towner Road #01-236,Singapore 322101,T +65 6297 7592
242,18 Clinic,5.37 km - Closing in 1 hr 37 min,101 Towner Road #01-228,Singapore 322101,T +65 6299 9750
243,The Family Clinic (Towner),5.37 km - Closing in 0 hr 7 min,101 Towner Road #01-202,Singapore 322101,T +65 6295 0995
244,Whampoa Clinic,5.38 km - Closing in 2 hr 37 min,88 Whampoa Drive #01-863,Singapore 320088,T +65 6252 1020
245,Family Health Clinic (Holland Drive),5.38 km - Closing in 2 hr 7 min,43 Holland Drive #01-65,Singapore 270043,T +65 6777 7933
246,May Medical Clinic & Surgery,5.4 km - Closed,41 Holland Drive #01-19 (off Commonwealth Avenue),Singapore 270041,T +65 6774 3318
247,The Balmoral Clinic,5.42 km - Closed,5 Stadium Walk #02-21 Leisure Park Kallang,Singapore 397693,T +65 6345 2202
248,Fullerton Healthcare @ Metropolis,5.43 km - Closing in 3 hr 7 min,9 North Buona Vista Drive #01-03 The Metropolis Tower 1,Singapore 138588,T +65 6339 5938
249,Heartland Health (Whampoa),5.45 km - Closing in 8 hr 37 min,87 Whampoa Drive #01-869,Singapore 320087,T +65 6252 1070
250,OneDoctors Family Clinic (Holland Village),5.45 km - Closing in 6 hr 37 min,253 Holland Avenue #02-01 Holland Village,Singapore 278982,T +65 6469 8938
251,Dover Medical Centre,5.45 km - Closing in 3 hr 7 min,69 Ayer Rajah Crescent #01-03,Singapore 139961,T +65 6775 6266
252,Providence Clinic @ Balestier,5.45 km - Closing in 1 hr 36 min,400 Balestier Road #01-45 Balestier Plaza,Singapore 329802,T +65 6255 0063
253,Livewell Medical Family Clinic,5.46 km - Closed,20 Ah Hood Road #01-08 Zhongshan Mall,Singapore 329984,T +65 6909 9888
254,Vista Medical Centre,5.49 km - Closed,218 Pasir Panjang Road  #01-10 ICON @ PASIR PANJANG,Singapore 118579,T +65 6778 0822
255,Silver Cross Medical Centre,5.52 km - Closing in 6 hr 36 min,275A Holland Avenue #Second Storey,Singapore 278993,T +65 6462 2818
256,The Coronation Clinic,5.54 km - Closing in 2 hr 36 min,587 Bukit Timah Road #02-01 Coronation Shopping Plaza,Singapore 269707,T +65 6468 6768
257,Healthway Medical Clinic (Holland Drive),5.54 km - Closing in 2 hr 6 min,45 Holland Drive #01-353,Singapore 270045,T +65 6778 9793
258,BL Medical Associates,5.55 km - Closing in 2 hr 36 min,"2 Science Park Drive #01-10 Ascent, Singapore Science Park 1",Singapore 118222,T +65 6265 1052
259,Shenton Family Medical Clinic (Towner),5.56 km - Closing in 2 hr 36 min,102 Towner Road #01-268,Singapore 322102,T +65 6391 0860
260,Winsome Medical & Dental Centre,5.56 km - Closing in 1 hr 6 min,81 Whampoa Drive #01-915,Singapore 320081,T +65 6254 4568
261,I-Health Medical Clinic,5.58 km - Closed,Blk 30 Bendemeer Road #Bendemeer Ville #01-883,Singapore 330030,T +65 6291 1371
262,One Wellness Clinic,5.6 km - Closing in 3 hr 36 min,"112, East Coast Road #04-19, i12 Katong",Singapore 428802,T +65 6568 0320
263,Unity Medical Clinic,5.63 km - Closing in 2 hr 36 min,501 West Coast Drive #01-250,Singapore 120501,T +65 6518 9379
264,Bukit Timah Clinic,5.65 km - Closing in 2 hr 36 min,621A Bukit Timah Road,Singapore 269731,T +65 6466 5458
265,Hua Mei Clinic,5.66 km - Closing in 3 hr 36 min,300 Whampoa Drive #02-06 Whampoa Community Club,Singapore 327737,T +65 6593 9500
266,Boon Keng Clinic & Surgery,5.67 km - Closing in 1 hr 36 min,11 Upper Boon Keng Road #01-919,Singapore 380011,T +65 6746 5456
267,New Town Clinic,5.67 km - Closing in 1 hr 36 min,11 Upper Boon Keng Road #01-929,Singapore 380011,T +65 6748 5259
268,T Medical Clinic (Kallang),5.71 km - Closed,Blk 5 Upper Boon Keng Road #Kallang Heights #01-14,Singapore 380005,T +65 6970 0882
269,Chiron Medical Clinic,5.72 km - Closing in 1 hr 36 min,3 St George's Road #01-95,Singapore 320003,T +65 6291 4963
270,St Georges Clinic and Surgery,5.72 km - Closed,3 Saint George's Road #01-105,Singapore 320003,T +65 6298 4833
271,Plushealth Medical Clinic & Surgery,5.73 km - Closing in 2 hr 6 min,89 Whampoa Drive #01-841,Singapore 320089,T +65 6264 7845
272,My Family Clinic (St George),5.74 km - Closing in 1 hr 36 min,2 St George's Road,Singapore 328023,T +65 6292 2128
273,The Chelsea Clinic (Rochester),5.77 km - Closing in 3 hr 36 min,35 Rochester Drive #03-21 The Rochester Mall,Singapore 138639,T +65 6570 3913
274,Inspire Medical Clinic (Jalan Batu),5.85 km - Closing in 6 hr 36 min,"8, Jalan Batu #01-11",Singapore 431008,T +65 8815 7214
275,Geylang Bahru Clinic,5.85 km - Closing in 1 hr 6 min,16 Upper Boon Keng Road #01-1093,Singapore 380016,T +65 6748 0316
276,Ko Family Clinic,5.86 km - Closed,18 Upper Boon Keng Road #01-1133,Singapore 380018,T +65 6842 1403
277,Kindred Family Clinic (Kallang Bahru),5.88 km - Closing in 2 hr 36 min,63 Kallang Bahru #01-435 Kallang Bahru Ville,Singapore 330063,T +65 6904 6642
278,Victor's Family Clinic,5.91 km - Closing in 2 hr 6 min,168 Toa Payoh Lorong 1 #01-1032,Singapore 310168,T +65 6353 2885
279,Picton Medical Centre,5.94 km - Closing in 1 hr 36 min,163 Toa Payoh Lorong 1 #01-1012/1014,Singapore 310163,T +65 6354 1220
280,Healthline Family Clinic and Surgery,6.02 km - Closing in 0 hr 6 min,66 Kallang Bahru #01-485,Singapore 330066,T +65 6295 0010
281,Kallang Bahru Family Clinic,6.02 km - Closing in 0 hr 6 min,66 Kallang Bahru #01-485,Singapore 330066,T +65 6295 0010
282,Healthlink Family Clinic & Surgery,6.05 km - Closing in 2 hr 6 min,21 Ghim Moh Road #01-187,Singapore 270021,T +65 6468 9808
283,Northeast Medical Group (Buona Vista),6.09 km - Closing in 7 hr 36 min,25 Ghim Moh Link #01-10,Singapore 270025,T +65 6694 3282
284,BabySteps Medical,6.1 km - Closing in 9 hr 36 min,25 Ghim Moh Link  #01-10,Singapore 270025,T +65 8839 1322
285,Pariqua Clinic,6.1 km - Closing in 2 hr 6 min,47 Bendemeer Road #01-1463,Singapore 330047,T +65 6292 1351
286,Mei Ling Clinic (Toa Payoh),6.11 km - Closing in 2 hr 21 min,500 Toa Payoh Lorong 6 #04-33 Biz One HDB Hub,Singapore 310500,T +65 6253 5600
287,Our Family Clinic & Surgery (Jalan Batu),6.11 km - Closing in 2 hr 6 min,8 Jalan Batu #01-15,Singapore 431008,T +65 6447 0847
288,Mediview Clinic & Surgery,6.13 km - Closing in 1 hr 36 min,150 Toa Payoh Lorong 1 #01-999,Singapore 310150,T +65 6253 2351
289,Belief Family Clinic,6.14 km - Closing in 5 hr 36 min,541 Kallang Bahru Geylang Bahru Mrt Station #B1-02,Singapore 339355,T +65 8855 6188
290,Low Medical Clinic,6.14 km - Closing in 1 hr 36 min,67 Kallang Bahru #01-447,Singapore 330067,T +65 6295 0805
291,Doctors Inc Medical Group,6.15 km - Closing in 2 hr 36 min,190 Toa Payoh Lorong 6 #01-590,Singapore 310190,T +65 6356 3633
292,Onecare Clinic Aljunied MRT,6.15 km - Closing in 0 hr 36 min,81 Lorong 25 Geylang #Aljunied MRT Station #01-03,Singapore 388310,T +65 6904 5871
293,The Tenteram Clinic,6.15 km - Closed,116B Jalan Tenteram #01-549 Tenteram Peak,Singapore 322116,T +65 6266 0196
294,Trinity Medical Clinic (Dover),6.21 km - Closing in 2 hr 36 min,19A Dover Crescent #01-01,Singapore 131019,T +65 6778 8868
295,Unihealth 24-Hr Clinic (Toa Payoh),6.24 km - Open 24 Hrs,178 Toa Payoh Central #01-218,Singapore 310178,T +65 6203 1639
296,Chng Clinic & Surgery,6.24 km - Closing in 1 hr 36 min,178 Toa Payoh Central #01-236,Singapore 310178,T +65 6250 4522
297,Dr Joyce & Partners Family Clinic (Toa Payoh Branch),6.25 km - Closed,Blk 177 Toa Payoh Central ##01-146,Singapore 310177,T +65 6926 7607
298,RafflesMedical (Toa Payoh),6.26 km - Closing in 3 hr 6 min,177 Toa Payoh Central #01-170,Singapore 310177,T +65 6254 7667
299,True Medical Clinic Paya Lebar Quarter,6.26 km - Closing in 3 hr 6 min,10 Paya Lebar Road  #04-26 Paya Lebar Quarter,Singapore 409057,T +65 6970 1933
300,Healthway Toa Payoh Clinic,6.27 km - Closing in 0 hr 35 min,177 Toa Payoh Central 1 #01-130,Singapore 310177,T +65 6255 3773
301,57 Medical Clinic (Geylang Bahru),6.27 km - Closed,Blk 57 Geylang Bahru #01-3505,Singapore 330057,T +65 6694 7078
302,Dover Clinic and Surgery,6.3 km - Closing in 2 hr 35 min,28 Dover Crescent #01-89 Multi-storey Car Park,Singapore 130028,T +65 6775 7410
303,Cornerstone Medical,6.32 km - Closing in 0 hr 35 min,Blk 29A Ghim Moh Link #01-03,Singapore 271029,T +65 6262 0018
304,B T Goh Family Clinic & Surgery,6.33 km - Closing in 2 hr 5 min,194 Kim Keat Avenue #01-406,Singapore 310194,T +65 6354 4535
305,My Family Clinic (Toa Payoh Central),6.36 km - Closed,79D Toa Payoh Central #01-53,Singapore 314079,T +65 6238 0301
306,Brighton Medical Clinic,6.37 km - Closing in 2 hr 35 min,83 Lorong 2 Toa Payoh #01-449,Singapore 310083,T +65 6514 1716
307,Aicare Family Clinic,6.44 km - Closing in 2 hr 35 min,83 Lorong 2 Toa Payoh #01-457 Toa Payoh Peakview,Singapore 310083,T +65 6266 7820
308,Redwood @ TPY Clinic And Surgery Pte. Ltd.,6.44 km - Closing in 2 hr 35 min,Blk 83 Lorong 2 Toa Payoh #01-457 Toa Payoh Peakview,Singapore 310083,T +65 6266 7820
309,Healthcare United,6.46 km - Closing in 2 hr 35 min,70 Toa Payoh Lorong 4 #01-335,Singapore 310070,T +65 9151 5377
310,Make-Well Family Clinic & Surgery,6.46 km - Closed,70 Toa Payoh Lorong 4 #01-351,Singapore 310070,T +65 6253 4235
311,Kin Mun Clinic,6.48 km - Closing in 2 hr 5 min,"66 Lorong 4 Toa Payoh #01-311, 313, 319",Singapore 310066,T +65 6256 6353
312,Familycare Clinic & Surgery,6.48 km - Closing in 1 hr 35 min,85C Toa Payoh Lorong 4 #01-380,Singapore 313085,T +65 6250 9033
313,Heartland Health (Toa Payoh),6.48 km - Closed,66 Lorong 4 Toa Payoh #01-315,Singapore 310066,T +65 6710 7326
314,Choong's Clinic,6.48 km - Closed,21 Old Airport Road #01-97,Singapore 390021,T +65 6344 2400
315,Healthwise Medical Clinic & Surgery,6.52 km - Closing in 2 hr 5 min,41 Jalan Tiga #01-07,Singapore 390041,T +65 6345 8601
316,Northeast Medical Group (Kallang),6.54 km - Closing in 7 hr 35 min,39 Jalan Tiga #01-01 Pine Green,Singapore 390039,T +65 6241 3298
317,Spring Medical Clinic (Old Airport Road),6.54 km - Closing in 0 hr 35 min,39 Jalan Tiga #01-03,Singapore 390039,T +65 6247 7077
318,Anteh Dispensary,6.59 km - Closing in 2 hr 35 min,"1, Lorong 22, Geylang, Grandview Suites #01-20",Singapore 398664,T +65 6744 1809
319,E Medical Clinic & Surgery (Toa Payoh ),6.6 km - Closing in 2 hr 35 min,126 Toa Payoh Lorong 1 #01-567,Singapore 310126,T +65 6356 9391
320,Cassia Clinic & Surgery,6.6 km - Closing in 1 hr 35 min,34 Cassia Crescent #01-75,Singapore 390034,T +65 6346 4260
321,Shenton Medical Group,6.6 km - Closed,Blk 126 Lorong 1 Toa Payoh ##01-561 Toa Payoh Heights,Singapore 310126,T +65 6233 9636 F +65 6225 3735
322,Braddell Medical Clinic,6.62 km - Closed,Blk 124 Lorong 1 Toa Payoh #01-489,Singapore 310124,T +65 6253 6288
323,Hisemainn Medical Clinic (Sims Place),6.63 km - Closing in 1 hr 5 min,48 Sims Place #01-167,Singapore 380048,T +65 6742 4413
324,TJ Medical Clinic & Surgery,6.63 km - Closing in 0 hr 5 min,48 Sims Place #01-167,Singapore 380048,T +65 6741 4537
325,Drs Chan & Tang Family Clinic,6.66 km - Closing in 2 hr 35 min,125 Toa Payoh Lorong 1 #01-549,Singapore 310125,T +65 6251 1782
326,C K Tan Family Clinic & Surgery,6.66 km - Closing in 1 hr 35 min,125 Toa Payoh Lorong 1 #01-537,Singapore 310125,T +65 6251 4438
327,The Occupational and Diving Medicine Centre,6.67 km - Closing in 3 hr 5 min,20 Lower Kent Ridge Road University Health Centre,Singapore 119080,T +65 6601 1781
328,Dr Jeremy Chan Medical Clinic,6.69 km - Closing in 0 hr 5 min,123 Lorong 1 Toa Payoh #01-493,Singapore 310123,T +65 6250 4191
329,Heartland Health (Kim Keat),6.69 km - Closed,19 Lorong 7 Toa Payoh #01-272,Singapore 310019,T +65 6710 7326
330,Finest Health Medical Centre,6.69 km - Closed,19 Lorong 7 Toa Payoh #01-268 Kim Keat Palm,Singapore 310019,T +65 6391 0279
331,Sims Drive Medical Clinic,6.73 km - Closing in 1 hr 35 min,53 Sims Place #01-174,Singapore 380053,T +65 6741 1607
332,Oei & Kho Clinic And Surgery,6.75 km - Closing in 2 hr 35 min,18 Lorong 7 Toa Payoh #01-250,Singapore 310018,T +65 6250 1328
333,Teoh Clinic Family Practice,6.76 km - Closed,47 Toa Payoh Lorong 6 #01-142,Singapore 310047,T +65 6255 5188
334,Intemedical Potong Pasir,6.78 km - Closing in 9 hr 35 min,51 UPPER SERANGOON ROAD #01-29 THE POIZ CENTRE,Singapore 347697,T +65 6242 6384
335,Camry Medical Centre,6.8 km - Closing in 1 hr 35 min,95 Toa Payoh Lorong 4 #01-66,Singapore 310095,T +65 6258 0553
336,The Medical and Aesthetic Clinic,6.8 km - Closing in 1 hr 34 min,270 Sims Avenue,Singapore 387514,T +65 6742 5155
337,SATA Commhealth Medical Centre - Potong Pasir,6.83 km - Closing in 2 hr 34 min,1 Siang Kuang Avenue #Sennett Estate,Singapore 347919,T +65 6244 6688
338,Associate Dispensaries,6.83 km - Closed,94 Toa Payoh Lorong 4 #01-20,Singapore 310094,T +65 6256 2308
339,SATA CommHealth Medical Centre (Potong Pasir),6.84 km - Closing in 3 hr 4 min,1 Siang Kuang Avenue,Singapore 347919,T +65 6244 6688
340,Tay Clinic,6.86 km - Closed,494 Geylang Road,Singapore 389452,T +65 6744 6336
341,Shenton Medical Group,6.86 km - Closed,168 Kallang Way Level 1,Singapore 349253,T +65 6840 0123 F +65 6744 8824
342,DA Clinic @ Potong Pasir,6.91 km - Closing in 6 hr 34 min,51 Upper Serangoon Road ##01-53 The Poiz Centre,Singapore 347697,T +65 6954 1012
343,Procross Medical Center,6.91 km - Closing in 1 hr 4 min,51 Upper Serangoon Road ##01-29 The Poiz Centre,Singapore 347697,T +65 6969 6546 F +65 6969 2451
344,The Family Practice - Potong Pasir,6.91 km - Closed,148 Potong Pasir Ave 1 #01-33,Singapore 350148,T +65 6281 6906
345,A Healing Heart,6.93 km - Closing in 3 hr 34 min,"134, Geylang East Ave 1 #01-227",Singapore 380134,T +65 6962 1362
346,Ruby Medical Centre,6.93 km - Closed,35 Tannery Road (Tannery Block) #02-02A,Singapore 347740,T +65 6743 3352
347,Lim Clinic & Surgery,6.99 km - Closing in 2 hr 4 min,109 Toa Payoh Lorong 1 #01-312,Singapore 310109,T +65 6252 7473
348,EJ Family Clinic and Surgery,6.99 km - Closed,109 Toa Payoh Lorong 1 #01-314,Singapore 310109,T +65 6353 9205
349,Neo Medical Centre,7.03 km - Closing in 1 hr 34 min,120 Potong Pasir Ave 1 #01-818,Singapore 350120,T +65 6285 4210
350,Swiss Clinic,7.05 km - Closing in 4 hr 34 min,1 Fifth Avenue #01-01 Guthrie House,Singapore 268802,T +65 6467 3218
351,Tek Dispensary,7.06 km - Closing in 2 hr 34 min,4 Toa Payoh Lorong 7 ##01-115,Singapore 310004,T +65 6251 2256 F +65 6259 3278
352,RafflesMedical (Sixth Avenue),7.09 km - Closing in 3 hr 4 min,10E Sixth Avenue #01-03,Singapore 276474,T +65 6462 3426
353,East Coast Family Clinic,7.09 km - Closing in 0 hr 34 min,121 Meyer Road #01-05 The Makena,Singapore 437932,T +65 6440 4556
354,Kent Ridge Clinic,7.12 km - Closing in 3 hr 4 min,1 Lower Kent Ridge Road One@KentRidge  #01-40,Singapore 119082,T +65 6911 0565
355,Faith Clinic (Toa Payoh),7.12 km - Closed,211 Lorong 8 Toa Payoh #01-19,Singapore 310211,T +65 6252 7896
356,CODE 4 Medical Clinic,7.16 km - Closing in 3 hr 4 min,627 Aljunied Road #02-01 Pacific Building,Singapore 389837,T +65 6771 6722
357,Temasek Medical Clinic  (Toa Payoh),7.17 km - Closing in 1 hr 34 min,212 Toa Payoh Lorong 8 #01-41,Singapore 310212,T +65 6252 3206
358,Boston Medical,7.18 km - Closing in 3 hr 4 min,Blk 119 Aljunied Avenue 2 ##01-72,Singapore 380119,T +65 6817 9036 F +65 6748 2884
359,Mediline Wei Min Clinic,7.24 km - Closed,833 Bukit Timah Road #01-05 Royalville,Singapore 279887,T +65 6635 8883
360,Saudara Clinic by A+J General Physicians,7.31 km - Closing in 3 hr 34 min,"228 Changi Road ##01-01, ICON@Changi",Singapore 419741,T +65 6244 4485
361,The Bidadari Clinic,7.35 km - Closing in 2 hr 34 min,115B Alkaff Crescent #01-11 Alkaff Lakeview,Singapore 342115,T +65 6518 3868
362,Cornerstone Medical Bidadari,7.39 km - Closing in 0 hr 34 min,Blk 106A Bidadari Park Drive ##01-03,Singapore 341106,T +65 6707 5660 F +65 6707 2576
363,Circuit Medical Clinic,7.41 km - Closed,Blk 36 Circuit Road #Balam Gardens #01-424,Singapore 370036,T +65 9046 2119
364,Woodleigh Care Family Clinic,7.43 km - Closing in 2 hr 34 min,11 Bidadari Park Drive #02-13 The Woodleigh Mall,Singapore 367803,T +65 6015 0982
365,Chuah Clinic & Surgery,7.43 km - Closing in 2 hr 4 min,113 Aljunied Ave 2 #01-19,Singapore 380113,T +65 6745 2104
366,M Lam Clinic,7.47 km - Closed,739 Geylang Road,Singapore 389649,T +65 6748 1949
367,C3 Family Clinic @Aljunied Crescent,7.5 km - Closed,95 Aljunied Crescent #01-509 Macpherson View,Singapore 380095,T +65 6742 2285
368,Assurance Medicare Clinic and Surgery,7.52 km - Closing in 2 hr 34 min,370 Tanjong Katong Road,Singapore 437127,T +65 6345 7810
369,Arcadia Clinic,7.54 km - Closing in 2 hr 4 min,2 Pandan Valley #01-211,Singapore 597626,T +65 6469 5122
370,Our Woodleigh Family Clinic Pte Ltd,7.56 km - Closing in 0 hr 4 min,115B Alkaff Crescent #01-05,Singapore 342115,T +65 6970 0560
371,Katong Family Clinic,7.59 km - Closing in 2 hr 34 min,263 Tanjong Katong Road #01-03 Suites@ Katong,Singapore 437050,T +65 6203 4192
372,Bishan Grace Clinic,7.6 km - Closing in 0 hr 34 min,150 Bishan St 11 #01-151,Singapore 570150,T +65 6254 2232
373,Heartland Health (Macpherson),7.61 km - Closed,88 Circuit Road #01-965,Singapore 370088,T +65 6547 8840
374,Tan's T & T Clinic & Surgery,7.7 km - Closing in 2 hr 4 min,152 Bishan St 11 #01-213,Singapore 570152,T +65 6353 1133
375,Kenneth Loo Family Clinic,7.7 km - Closed,152 Bishan St 11 #01-215,Singapore 570152,T +65 6250 3660
376,DR + Medical & Paincare Bishan,7.74 km - Open 24 Hrs,121 Bishan St 12 #01-95,Singapore 570121,T +65 6258 3212
377,Tan & Yik Clinic & Surgery,7.77 km - Closed,116 Bishan St 12 #01-36,Singapore 570116,T +65 6258 4122
378,DA Clinic @ Bishan,7.78 km - Closed,Blk 501 Bishan Street 11 ##01-374,Singapore 570501,T +65 6262 3759 F +65 6954 1012
379,1 Aljunied Medical,7.8 km - Closed,389 Upper Aljunied Road,Singapore 367874,T +65 6286 1923
380,Lifeline Bishan Medical Clinic,7.83 km - Closing in 2 hr 3 min,501 Bishan St 11 #01-376,Singapore 570501,T +65 6259 8969
381,Radlink Medicare @ Bishan,7.86 km - Closing in 2 hr 3 min,503 Bishan St 11 #01-464,Singapore 570503,T +65 6255 7545
382,Lee & Tan Family Clinic & Surgery,7.86 km - Closing in 1 hr 3 min,72 Circuit Road #01-03,Singapore 370072,T +65 6745 6877
383,TP Sim Family Clinic & Surgery,7.86 km - Closing in 1 hr 3 min,509 Bishan St 11 #01-378,Singapore 570509,T +65 6353 8010
